STATE,DISTRICT,YEAR,RAPE,CUSTODIAL RAPE,OTHER RAPE,DOWRY DEATHS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,CRUELTY BY HUSBAND OR HIS RELATIVES,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,KIDNAPPING & ABDUCTION,ROBBERY,HURT/GREVIOUS HURT,THEFT,BURGLARY,ARSON,DACOITY,TOTAL IPC CRIMES,RISK_SCORE,RISK_LEVEL,MARKER_COLOR
Gujarat,Rajkot Rural,24078,249,0,249,35,564,3033,416,45,0,470,295,26,640,300,4796,4271,2192,218,102,51010,742.4900000000001,MEDIUM,orange
Gujarat,Surat Commr.,24078,311,0,311,157,763,2909,380,47,0,1108,295,28,1150,863,6788,23340,4739,103,236,85040,1707.1399999999999,HIGH,red
Gujarat,Surat Rural,24078,123,0,123,10,165,642,119,5,0,627,108,4,211,186,2370,2533,941,90,120,26600,312.69,MEDIUM,orange
Gujarat,Surendranagar,24078,206,0,206,13,386,1183,484,30,0,384,213,4,441,202,5805,2849,1307,116,78,36446,472.9,MEDIUM,orange
Gujarat,Tapi,10050,20,0,20,0,12,56,21,0,0,79,13,7,13,16,528,332,92,13,5,3440,39.07000000000001,LOW,green
Gujarat,Vadodara Commr.,24078,81,0,81,1,419,2239,169,51,0,355,345,10,510,546,3813,16108,4353,441,109,67448,1138.6100000000001,HIGH,red
Gujarat,Vadodara Rural,24078,200,0,200,0,555,874,309,1,0,862,191,22,588,192,4199,2699,923,294,156,36234,457.36,MEDIUM,orange
Gujarat,Valsad,24078,92,0,92,1,154,359,104,0,0,406,125,7,205,199,2302,4061,1994,80,129,27176,359.59999999999997,MEDIUM,orange
Gujarat,W.Rly,20055,16,0,16,1,24,34,64,16,0,133,39,1,41,542,498,8762,184,4,53,13502,396.0799999999999,MEDIUM,orange
Gujarat,W.Rly Ahmedabad,4023,1,0,1,0,3,2,8,0,0,10,3,0,4,13,61,426,16,0,0,669,20.35,LOW,green
Gujarat,W.Rly Vadodara,4023,0,0,0,0,3,1,3,0,0,10,1,1,4,12,84,944,4,0,5,1244,40.36999999999999,LOW,green
Haryana,Ambala,22066,237,0,237,109,252,1806,235,188,0,350,219,33,310,177,2518,4373,2959,84,38,26471,589.91,MEDIUM,orange
Haryana,Ambala Rural,2012,11,0,11,7,19,73,12,4,0,13,15,1,28,6,66,209,118,3,1,1082,27.0,LOW,green
Haryana,Ambala Urban,2012,21,0,21,5,39,159,23,14,0,15,16,3,75,21,109,600,362,5,0,2342,64.51,LOW,green
Haryana,Bhiwani,24078,309,0,309,269,334,1088,340,130,0,647,356,45,476,310,3138,5008,2495,199,76,29979,632.54,MEDIUM,orange
Haryana,Faridabad,24078,501,0,501,210,851,1985,420,3648,0,769,491,64,1111,357,2992,13989,3464,105,76,63980,1325.3000000000002,HIGH,red
Haryana,Fatehabad,24078,146,0,146,80,209,1016,169,83,0,272,225,32,318,95,2075,2496,1307,57,14,16246,356.82,MEDIUM,orange
Haryana,Grp,24078,15,0,15,77,23,2,47,1358,0,268,56,7,40,134,157,3976,16,0,25,12011,242.23999999999998,LOW,green
Haryana,Gurgaon,24078,407,0,407,214,521,1356,305,422,0,933,591,64,729,922,2089,24520,5710,117,200,64761,1610.18,HIGH,red
Haryana,Hissar,24078,287,0,287,197,422,2117,338,110,0,708,660,39,586,353,4036,7428,3062,142,44,38246,851.71,HIGH,red
Haryana,Jhajjar,24078,231,0,231,178,171,1226,269,278,0,638,428,37,265,282,1614,3394,1485,62,51,19514,480.1,MEDIUM,orange
Haryana,Jind,24078,302,0,302,166,206,835,197,213,0,483,335,92,298,238,1719,3720,1887,78,23,20557,476.21000000000004,MEDIUM,orange
Haryana,Kaithal,24078,218,0,218,112,137,1601,188,0,0,321,222,45,197,136,2422,2870,1569,104,46,17689,441.3,MEDIUM,orange
Haryana,Karnal,24078,562,0,562,194,241,2196,363,124,0,513,445,61,425,278,6442,7706,2913,98,76,35540,904.31,HIGH,red
Haryana,Kurukshetra,24078,343,0,343,113,234,1112,226,255,0,321,220,31,303,200,2243,6051,2484,75,60,26498,606.53,MEDIUM,orange
Haryana,Mahendragarh,24078,198,0,198,107,215,593,236,0,0,309,154,18,278,118,1783,2441,1226,115,62,18618,331.03000000000003,MEDIUM,orange
Haryana,Mewat,16068,264,0,264,57,107,1121,107,50,0,167,271,15,193,119,925,2346,300,36,98,13684,317.35,MEDIUM,orange
Haryana,Palwal,14063,230,0,230,80,199,549,179,67,0,252,288,27,261,168,1128,3231,513,31,51,14679,333.27,MEDIUM,orange
Haryana,Panchkula,24078,144,0,144,38,163,784,194,159,0,162,70,14,229,117,410,3432,1627,8,30,15938,344.82000000000005,MEDIUM,orange
Haryana,Panipat,24078,524,1,523,149,373,1549,227,224,0,534,289,86,543,359,2039,7924,2225,52,86,29195,793.5400000000001,MEDIUM,orange
Haryana,Rewari,24078,212,0,212,126,222,690,253,94,0,320,244,23,277,311,1899,4213,1675,125,98,23249,442.82000000000005,MEDIUM,orange
Haryana,Rohtak,24078,400,0,400,201,215,974,257,422,0,742,572,25,327,370,2087,6552,2887,94,66,28707,697.78,MEDIUM,orange
Haryana,Sirsa,24078,277,0,277,101,225,1453,216,1,0,438,351,26,387,145,3807,3945,2056,106,35,22404,542.13,MEDIUM,orange
Haryana,Sonipat,24078,294,0,294,247,404,1450,306,290,0,913,610,43,556,474,3315,6720,2317,127,80,32592,761.71,MEDIUM,orange
Haryana,Yamunanagar,24078,277,0,277,93,347,1377,216,54,0,383,306,26,444,181,2241,4250,1847,83,39,21321,536.63,MEDIUM,orange
Himachal Pradesh,Baddipolicedist,8042,27,0,27,1,30,38,25,1,0,32,16,0,39,4,583,181,139,6,1,1913,34.949999999999996,LOW,green
Himachal Pradesh,Bilaspur,24078,121,0,121,4,71,319,341,44,0,94,89,11,93,25,653,694,533,187,7,13237,145.93,LOW,green
Himachal Pradesh,Chamba,24078,142,0,142,8,173,117,259,11,0,119,40,9,185,6,764,418,1264,86,0,7766,152.67000000000002,LOW,green
Himachal Pradesh,Cid,8042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0.04,LOW,green
Himachal Pradesh,G.R.P.,24078,0,0,0,0,0,0,0,0,0,4,1,0,1,1,3,30,5,0,0,112,1.7199999999999998,LOW,green
Himachal Pradesh,Hamirpur,24078,68,0,68,2,105,293,230,83,0,76,49,14,120,4,2533,491,504,114,0,11154,137.32,LOW,green
Himachal Pradesh,Kangra,24078,232,0,232,9,285,614,505,74,0,290,176,26,346,26,2637,1504,1549,253,8,27141,334.93,MEDIUM,orange
